Kalimat,Tipe
Pesan resmi dari PT. M-KIOS anda mendapatkan hadiah ke 4,spam
Menawarkan pinjaman dana basis online proses 100% aman,spam
Yuk pakai RBT kekinian. Cuma Rp.500/bln untuk 3 lagu loh,spam
"KSP Nasari. Buka pinjaman dana berbasis online, 2%.",spam
"1GB Cuma 10rb buat seminggu, plus nelp 1000 menit ke sesama im3",spam
"Lindungi aset anda,rmh,toko,kantor,dll dgn cctv HD brkualitas,antiair.",spam
Mau karaoke bayar 5000/1 jam. tukar sms ini di NAV,not spam
Your apple ID verification code is,not spam
HUB Telp/WA 081229789701/bit.ly/2Cm8Y4I,spam
Your ovo challenge code is ,not spam
"Bukalapak - Demi keamanan, jangan berikan kode RAHASIA ini kepada siapapun",not spam
Nomor anda telah diisi dengan nomor SN 90121092019201,not spam
Beli 1 gratis 1 semua jenis minuman. tukarkan di excelso terdekat,not spam
Dapatkan saldo Rp.100rb + 10 game(total senilai 200rb) hanya dengan membayar 100rb. tukarkan di timezone hari ini,not spam
